nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	WDSsep	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	WDSsep	name	
0	1.11071	4.33573	0.93996	0.00000	1.80348	2.31332	2.11226	5.11903	0.41251	0.05779	0.03432	9.60385	0.02960	0.02960	0.00122	0.00200	12.86989	0.02911	461.52811	14	0.32471	0.18400	3300.72095	14.81000	M	275.52782	6.34377	35.28491	9.39627	inf	Ross136
0	0.53466	6.38858	0.15791	0.00000	1.80348	0.09038	3.44675	1.09062	0.08315	0.20243	0.09097	9.60385	0.03833	0.03833	0.00074	0.00259	7.67571	0.96076	453.32371	14	0.32471	0.18400	3300.72095	14.81000	M	275.52782	6.34377	35.28491	9.39627	inf	Ross136
0	1.27957	10.07263	4.64220	0.00000	1.80348	3.51589	0.54204	4.63373	0.07252	0.41179	0.00538	9.60385	0.05192	0.05192	0.00173	0.00351	4.18279	0.88452	390.61287	14	0.32471	0.18400	3300.72095	14.81000	M	275.52782	6.34377	35.28491	9.39627	inf	Ross136
0	1.04323	66.13400	1.23087	0.00000	1.80348	1.52167	5.91598	1.99309	0.65237	0.37946	0.06473	9.60385	0.18205	0.18205	0.00291	0.01229	0.34022	0.00144	163.21916	14	0.32471	0.18400	3300.72095	14.81000	M	275.52782	6.34377	35.28491	9.39627	inf	Ross136
0	2.76424	380.37669	12.05291	0.00000	1.80348	0.89249	4.98712	6.11705	0.49191	0.03939	0.01643	9.60385	0.58441	0.58441	0.01001	0.03946	0.03301	0.96909	100.16481	14	0.32471	0.18400	3300.72095	14.81000	M	275.52782	6.34377	35.28491	9.39627	inf	Ross136
0	0.56780	3.87163	0.11812	0.00000	1.92570	0.91381	4.29373	4.72740	0.62645	0.08770	0.02518	2.21598	0.03556	0.03556	0.00194	0.00208	17.54733	0.15600	445.34151	15	0.48335	0.40000	3204.08081	17.06000	M	145.64864	-19.23476	253.13761	24.87265	inf	L750-79
0	1.20550	8.47296	1.28300	0.00000	1.92570	5.93334	2.92138	0.93401	0.74627	0.45164	0.03266	2.21598	0.05994	0.05994	0.00277	0.00351	6.17575	0.68739	311.40092	15	0.48335	0.40000	3204.08081	17.06000	M	145.64864	-19.23476	253.13761	24.87265	inf	L750-79
0	0.62951	27.57132	0.25978	0.00000	1.92570	1.36694	5.85185	0.68835	0.27339	0.12894	0.01420	2.21598	0.13161	0.13161	0.00749	0.00771	1.28074	0.20822	273.36566	15	0.48335	0.40000	3204.08081	17.06000	M	145.64864	-19.23476	253.13761	24.87265	inf	L750-79
0	1.91375	47.93803	3.33116	0.00000	1.92570	0.84905	5.69026	6.10861	0.20928	0.25771	0.09833	2.21598	0.19030	0.19030	0.00847	0.01115	0.61258	0.71407	232.19385	15	0.48335	0.40000	3204.08081	17.06000	M	145.64864	-19.23476	253.13761	24.87265	inf	L750-79
0	0.99988	159.33917	1.00030	0.00000	1.92570	2.63128	1.64482	2.62163	0.26099	0.20925	0.06142	2.21598	0.42384	0.42384	0.01325	0.02484	0.12349	0.86426	152.97681	15	0.48335	0.40000	3204.08081	17.06000	M	145.64864	-19.23476	253.13761	24.87265	inf	L750-79
0	3.36719	1.86953	18.63203	0.00000	2.10700	1.42298	3.08081	4.98768	0.71057	0.35260	0.07610	0.89180	0.02625	0.02625	0.00081	0.00150	174.46316	0.01937	741.93693	16	0.66900	0.69000	4155.00000	17.52000	K	246.98711	7.30544	22.23263	35.11823	inf	HD148467
0	3.37257	12.29091	5.71221	0.00000	2.10700	5.16133	5.62867	4.20394	0.16873	0.30067	0.05264	0.89180	0.09211	0.09211	0.00494	0.00526	14.16560	0.50748	515.58283	16	0.66900	0.69000	4155.00000	17.52000	K	246.98711	7.30544	22.23263	35.11823	inf	HD148467
0	1.76456	20.62028	9.79517	0.00000	2.10700	2.37510	3.70198	1.19434	0.30721	0.49950	0.05156	0.89180	0.13005	0.13005	0.00397	0.00742	7.10592	0.86359	414.58137	16	0.66900	0.69000	4155.00000	17.52000	K	246.98711	7.30544	22.23263	35.11823	inf	HD148467
0	0.57065	99.61531	0.10871	0.00000	2.10700	3.09153	2.28084	6.15123	0.55193	0.15299	0.00196	0.89180	0.37165	0.37165	0.01472	0.02121	0.87012	0.04512	219.92966	16	0.66900	0.69000	4155.00000	17.52000	K	246.98711	7.30544	22.23263	35.11823	inf	HD148467
0	1.45238	1.12160	3.00300	0.00000	1.30432	2.24233	3.59395	4.31404	0.32382	0.18168	0.02346	10.02850	0.01557	0.01557	0.00025	0.00094	156.70978	0.00211	892.98451	17	0.42100	0.40000	3927.00000	16.56000	M	245.78185	-24.70978	352.30585	17.26726	inf	CD-2412677
0	0.92395	1.59491	0.81293	0.00000	1.30432	1.32541	4.52473	3.06092	0.43453	0.18388	0.05155	10.02850	0.01969	0.01969	0.00044	0.00119	98.00088	0.00556	759.38905	17	0.42100	0.40000	3927.00000	16.56000	M	245.78185	-24.70978	352.30585	17.26726	inf	CD-2412677
0	0.51434	1.88877	0.06888	0.00000	1.30432	0.83591	0.57805	1.92566	0.07293	0.12497	0.06848	10.02850	0.02203	0.02203	0.00109	0.00133	78.21769	0.08521	812.19200	17	0.42100	0.40000	3927.00000	16.56000	M	245.78185	-24.70978	352.30585	17.26726	inf	CD-2412677
0	1.67815	2.87285	3.54503	0.00000	1.30432	6.03556	1.19008	1.93309	0.36699	0.58707	0.04894	10.02850	0.02914	0.02914	0.00176	0.00176	44.71576	0.30948	641.98059	17	0.42100	0.40000	3927.00000	16.56000	M	245.78185	-24.70978	352.30585	17.26726	inf	CD-2412677
0	0.50668	10.45708	0.15467	0.00000	1.30432	2.65576	3.93384	2.13481	0.77670	0.28733	0.00503	10.02850	0.06896	0.06896	0.00408	0.00416	7.98602	0.42774	321.63157	17	0.42100	0.40000	3927.00000	16.56000	M	245.78185	-24.70978	352.30585	17.26726	inf	CD-2412677
0	0.60997	28.98162	0.20679	0.00000	1.30432	4.50598	1.73936	2.67149	0.54195	0.07556	0.04265	10.02850	0.13606	0.13606	0.00320	0.00822	2.05139	0.92784	274.02752	17	0.42100	0.40000	3927.00000	16.56000	M	245.78185	-24.70978	352.30585	17.26726	inf	CD-2412677
0	2.45307	55.31341	8.64896	0.00000	1.30432	5.49388	5.36121	3.96230	0.20706	0.15142	0.02853	10.02850	0.20935	0.20935	0.01258	0.01264	0.86650	0.27106	253.40003	17	0.42100	0.40000	3927.00000	16.56000	M	245.78185	-24.70978	352.30585	17.26726	inf	CD-2412677
0	2.24673	216.32766	1.61182	0.00000	1.30432	4.23627	1.92239	5.59039	0.25420	0.26061	0.08849	10.02850	0.51968	0.51968	0.01307	0.03138	0.14062	0.00826	158.38874	17	0.42100	0.40000	3927.00000	16.56000	M	245.78185	-24.70978	352.30585	17.26726	inf	CD-2412677
0	1.95962	354.41470	2.59716	0.00000	0.31293	0.18512	4.53011	0.17148	0.67663	0.47742	0.05458	0.10141	0.93158	0.93158	0.04550	0.04782	0.63466	0.48743	187.33364	18	0.87645	0.85848	5311.33887	19.48000	G	81.91397	-60.41600	269.31336	-33.61505	inf	HD36435
0	2.41981	39.33251	11.32578	0.00000	1.71526	3.32890	3.21393	4.85277	0.28821	0.24062	0.01609	1.85820	0.12875	0.12875	0.00195	0.00770	0.27299	0.00178	184.79021	19	0.21700	0.18400	3213.66054	16.71000	M	197.33506	-40.15752	306.63543	22.58546	inf	L472-66
0	0.98757	162.72150	1.06452	0.00000	1.71526	2.94189	0.48402	5.48013	0.06405	0.41191	0.02817	1.85820	0.33180	0.33180	0.01888	0.01986	0.04110	0.48896	123.26511	19	0.21700	0.18400	3213.66054	16.71000	M	197.33506	-40.15752	306.63543	22.58546	inf	L472-66
0	0.63023	16.26843	0.19032	0.00000	1.32764	0.11250	0.76537	1.47439	0.07519	0.15272	0.04625	3.48551	0.08122	0.08122	0.00423	0.00653	1.12650	0.03541	281.18997	20	0.30000	0.27000	3094.00000	12.44000	M	283.41631	-38.61235	357.69515	-16.93665	inf	L489-58
